attr,sinc,intel,fun,like,int_corr,amb,samerace,exphappy,prob
6.0,8.0,6.0,8.0,4.0,0.52,7.0,0,6.0,3.0
7.0,8.0,7.0,6.0,4.0,0.43,8.0,0,3.0,5.0
5.0,8.0,8.0,8.0,4.0,0.17,8.0,1,6.0,3.0
6.0,9.0,8.0,6.0,4.0,-0.35,8.0,1,8.0,7.0
8.0,6.0,10.0,5.0,6.0,0.24,6.0,1,3.0,1.0
8.0,10.0,10.0,9.0,7.0,0.65,8.0,1,7.0,4.0
4.0,8.0,8.0,5.0,5.0,0.33,5.0,0,4.0,7.0
3.0,8.0,6.0,6.0,6.0,0.19,6.0,1,4.0,4.0
1.0,8.0,8.0,2.0,6.0,0.51,8.0,0,6.0,8.0
4.0,7.0,6.0,6.0,5.0,0.17,9.0,0,3.0,3.0
6.0,5.0,6.0,5.0,5.0,0.22,6.0,1,5.0,4.0
7.0,8.0,7.0,8.0,7.0,0.54,5.0,0,3.0,5.0
7.0,8.0,10.0,5.0,5.0,0.19,9.0,1,5.0,5.0
6.0,7.0,6.0,7.0,6.0,0.41,6.0,0,3.0,4.0
6.0,8.0,8.0,9.0,7.0,0.24,8.0,0,3.0,3.0
6.0,9.0,9.0,10.0,10.0,-0.5,9.0,0,7.0,10.0
5.0,6.0,8.0,7.0,7.0,0.51,6.0,0,2.0,7.0
4.0,8.0,8.0,5.0,5.0,0.32,7.0,1,6.0,2.0
3.0,6.0,8.0,7.0,7.0,0.52,8.0,1,7.0,8.0
2.0,3.0,3.0,5.0,6.0,0.22,5.0,1,6.0,5.0
7.0,3.0,10.0,10.0,8.0,0.24,7.0,1,5.0,10.0
5.0,7.0,6.0,5.0,6.0,0.18,6.0,0,2.0,4.0
8.0,9.0,7.0,8.0,9.0,-0.38,7.0,1,2.0,5.0
6.0,9.0,7.0,7.0,6.0,0.16,7.0,0,6.0,3.0
7.0,10.0,10.0,6.0,7.0,-0.09,6.0,0,7.0,5.0
6.0,6.0,6.0,6.0,6.0,-0.06,4.0,1,3.0,5.0
8.0,9.0,10.0,8.0,7.0,-0.59,5.0,1,7.0,6.0
7.0,8.0,9.0,7.0,6.0,-0.09,4.0,0,7.0,4.0
7.0,8.0,8.0,7.0,7.0,-0.07,8.0,0,6.0,7.0
8.0,9.0,10.0,7.0,8.0,-0.26,7.0,1,4.0,7.0
6.0,6.0,6.0,10.0,5.0,0.15,6.0,1,6.0,5.0
7.0,8.0,8.0,5.0,7.0,0.19,7.0,1,5.0,6.0
4.0,7.0,8.0,4.0,4.0,0.13,7.0,0,4.0,7.0
9.0,9.0,9.0,8.0,8.0,0.46,9.0,1,3.0,6.0
6.0,6.0,7.0,6.0,5.0,0.37,8.0,0,5.0,4.0
7.0,8.0,9.0,9.0,8.0,0.27,8.0,0,4.0,3.0
6.0,6.0,6.0,6.0,5.0,0.37,6.0,0,5.0,2.0
5.0,8.0,8.0,6.0,5.0,0.59,8.0,1,4.0,4.0
5.0,7.0,7.0,6.0,7.0,0.26,6.0,0,4.0,6.0
5.0,4.0,3.0,2.0,6.0,-0.25,1.0,0,6.0,8.0
3.0,8.0,8.0,9.0,6.0,-0.4,4.0,1,6.0,9.0
6.0,7.0,7.0,5.0,7.0,0.18,6.0,0,7.0,5.0
5.0,10.0,8.0,8.0,5.0,-0.01,5.0,0,6.0,5.0
8.0,8.0,8.0,8.0,8.0,0.75,8.0,0,5.0,3.0
1.0,7.0,9.0,7.0,3.0,0.15,6.0,1,5.0,6.0
6.0,9.0,10.0,3.0,6.0,0.63,9.0,0,6.0,5.0
5.0,6.0,6.0,4.0,5.0,0.52,4.0,0,3.0,1.0
5.0,6.0,7.0,7.0,3.0,0.23,6.0,0,6.0,5.0
4.0,8.0,7.0,4.0,3.0,0.37,4.0,1,1.0,4.0
3.0,7.0,7.0,2.0,4.0,0.17,2.0,0,7.0,5.0
6.0,10.0,10.0,9.0,8.0,-0.16,8.0,0,5.0,8.0
5.0,8.0,8.0,7.0,6.0,-0.05,9.0,1,3.0,7.0
2.0,8.0,6.0,4.0,5.0,0.27,4.0,1,7.0,7.0
8.0,8.0,7.0,7.0,2.0,0.72,5.0,1,5.0,5.0
7.0,7.0,7.0,8.0,7.0,0.53,8.0,0,5.0,5.0
8.0,8.0,8.0,8.0,8.0,0.34,8.0,1,5.0,5.0
2.0,10.0,10.0,8.0,8.0,0.6,10.0,0,5.0,8.0
10.0,6.0,6.0,9.0,6.0,-0.32,5.0,0,2.0,2.0
7.0,7.0,7.0,8.0,6.0,-0.63,8.0,0,7.0,6.0
5.0,8.0,9.0,8.0,5.0,0.64,8.0,1,7.0,4.0
5.0,6.0,8.0,5.0,5.0,0.58,8.0,1,6.0,6.0
4.0,2.0,6.0,5.0,5.0,-0.05,2.0,1,6.0,5.0
4.0,6.0,8.0,6.0,6.0,0.51,8.0,1,6.0,7.0
6.0,8.0,8.0,7.0,5.0,-0.02,9.0,1,2.0,5.0
7.0,10.0,10.0,10.0,8.0,0.68,10.0,1,5.0,5.0
4.0,6.0,7.0,6.0,6.0,-0.26,8.0,0,6.0,4.0
4.0,8.0,7.0,4.0,4.0,-0.37,9.0,0,4.0,5.0
7.0,6.0,7.0,8.0,7.0,0.31,5.0,0,3.0,6.0
6.0,10.0,10.0,6.0,6.0,0.3,6.0,1,7.0,3.0
5.0,10.0,8.0,8.0,4.0,0.02,6.0,0,5.0,5.0
9.0,8.0,9.0,9.0,6.0,0.03,5.0,0,7.0,4.0
4.0,6.0,5.0,5.0,5.0,0.1,5.0,0,4.0,6.0
7.0,7.0,7.0,6.0,7.0,0.34,7.0,0,6.0,6.0
5.0,7.0,7.0,6.0,6.0,0.29,7.0,0,4.0,4.0
7.0,4.0,5.0,3.0,3.0,0.64,5.0,1,6.0,2.0
4.0,8.0,8.0,3.0,6.0,0.28,8.0,0,2.0,5.0
7.0,7.0,7.0,6.0,7.0,0.5,5.0,1,5.0,5.0
6.0,10.0,10.0,5.0,7.0,0.07,9.0,1,8.0,6.0
6.0,8.0,9.0,6.0,6.0,0.33,8.0,1,6.0,6.0
10.0,5.0,3.0,2.0,6.0,0.64,6.0,0,6.0,1.0
7.0,6.0,9.0,8.0,8.0,0.54,7.0,1,7.0,6.0
7.0,8.0,8.0,7.0,7.0,-0.21,7.0,0,7.0,6.0
5.0,7.0,8.0,7.0,5.0,0.37,7.0,0,6.0,5.0
4.0,8.0,9.0,4.0,4.0,-0.23,8.0,1,5.0,5.0
7.0,6.0,7.0,5.0,5.0,0.35,8.0,1,3.0,8.0
6.0,6.0,7.0,7.0,7.0,0.36,8.0,1,2.0,5.0
3.0,7.0,8.0,6.0,4.0,0.72,8.0,0,4.0,2.0
6.0,8.0,6.0,7.0,6.0,0.31,6.0,1,7.0,6.0
3.0,4.0,4.0,4.0,5.0,0.33,4.0,1,7.0,2.0
4.0,7.0,5.0,5.0,4.0,0.26,6.0,1,6.0,5.0
8.0,8.0,8.0,10.0,9.0,0.44,7.0,1,5.0,5.0
6.0,6.0,6.0,6.0,6.0,0.03,6.0,0,5.0,5.0
4.0,5.0,7.0,4.0,4.0,0.03,5.0,0,3.0,2.0
6.0,8.0,8.0,8.0,7.0,0.36,8.0,0,6.0,6.0
3.0,3.0,8.0,2.0,5.0,0.43,2.0,1,4.0,4.0
5.0,6.0,7.0,5.0,5.0,0.27,7.0,0,7.0,5.0
4.0,3.0,5.0,7.0,3.0,-0.08,3.0,0,5.0,3.0
7.0,8.0,8.0,8.0,8.0,-0.15,5.0,0,5.0,6.0
8.0,8.0,8.0,8.0,9.0,0.78,9.0,0,6.0,7.0
4.0,7.0,5.0,5.0,5.0,0.48,5.0,0,5.0,4.0
4.0,7.0,7.0,6.0,6.0,0.22,7.0,1,5.0,7.0
5.0,8.0,8.0,7.0,4.0,0.35,4.0,0,2.0,6.0
6.0,6.0,7.0,6.0,6.0,0.37,5.0,0,10.0,8.0
4.0,2.0,9.0,2.0,5.0,0.69,10.0,0,7.0,1.0
4.0,6.0,4.0,5.0,5.0,0.43,4.0,0,5.0,5.0
1.0,7.0,8.0,8.0,8.0,0.65,8.0,0,7.0,8.0
10.0,10.0,10.0,10.0,5.0,0.26,10.0,1,8.0,8.0
8.0,7.0,8.0,7.0,7.0,-0.37,7.0,1,8.0,5.0
1.0,7.0,6.0,2.0,2.0,-0.01,2.0,0,6.0,3.0
3.0,7.0,8.0,4.0,2.0,-0.09,3.0,0,4.0,0.0
5.0,7.0,8.0,4.0,6.0,0.29,6.0,1,4.0,4.0
5.0,7.0,9.0,5.0,6.0,0.54,9.0,1,4.0,9.0
6.0,6.0,7.0,9.0,7.0,-0.06,8.0,0,5.0,9.0
7.0,7.0,7.0,7.0,7.0,0.46,7.0,0,8.0,7.0
9.0,9.0,10.0,8.0,9.0,-0.26,9.0,1,3.0,6.0
9.0,6.0,8.0,5.0,6.0,0.73,8.0,1,6.0,6.0
5.0,7.0,7.0,7.0,7.0,0.04,7.0,1,5.0,7.0
3.0,4.0,6.0,4.0,4.0,0.83,5.0,1,6.0,5.0
8.0,9.0,9.0,7.0,9.0,0.34,8.0,1,6.0,8.0
8.0,8.0,8.0,8.0,8.0,-0.14,8.0,0,5.0,2.0
5.0,6.0,6.0,7.0,6.0,0.54,8.0,1,3.0,5.0
3.0,1.0,2.0,2.0,2.0,0.28,2.0,1,6.0,5.0
5.0,6.0,7.0,4.0,5.0,0.26,5.0,0,6.0,2.0
6.0,7.0,7.0,6.0,6.0,0.51,6.0,0,8.0,5.0
10.0,10.0,10.0,10.0,9.0,0.36,10.0,1,8.0,8.0
8.0,9.0,9.0,9.0,6.0,0.65,9.0,1,7.0,7.0
6.0,7.0,6.0,1.0,1.0,0.8,5.0,0,5.0,1.0
6.0,8.0,10.0,6.0,5.0,0.4,9.0,0,5.0,4.0
3.0,9.0,9.0,6.0,6.0,0.01,9.0,0,2.0,2.0
7.0,6.0,9.0,8.0,7.0,0.19,9.0,0,3.0,5.0
5.0,6.0,6.0,6.0,6.0,0.55,6.0,1,3.0,3.0
4.0,7.0,7.0,6.0,6.0,-0.19,6.0,0,5.0,5.0
2.0,3.0,2.0,2.0,2.0,0.05,6.0,0,6.0,1.0
4.0,7.0,8.0,2.0,3.0,-0.02,6.0,1,7.0,2.0
2.0,5.0,5.0,5.0,2.0,0.61,10.0,0,2.0,5.0
7.0,6.0,8.0,7.0,7.0,0.29,7.0,1,8.0,7.0
3.0,7.0,10.0,3.0,3.0,-0.07,10.0,1,5.0,5.0
5.0,6.0,5.0,6.0,5.0,0.03,5.0,0,2.0,4.0
7.0,9.0,8.0,9.0,7.0,-0.43,7.0,0,5.0,2.0
6.0,10.0,9.0,6.0,5.0,-0.35,7.0,1,5.0,5.0
7.0,8.0,9.0,6.0,5.0,0.13,9.0,0,7.0,5.0
8.0,9.0,9.0,9.0,9.0,0.0,9.0,0,1.0,7.0
5.0,5.0,5.0,5.0,5.0,0.48,5.0,1,5.0,5.0
3.0,7.0,7.0,2.0,5.0,0.2,8.0,0,1.0,3.0
8.0,8.0,8.0,7.0,8.0,0.24,7.0,0,6.0,7.0
8.0,8.0,7.0,8.0,8.5,0.27,9.0,1,6.0,7.0
8.0,9.0,9.0,10.0,8.0,0.8,9.0,1,5.0,8.0
5.0,7.0,7.0,6.0,7.0,0.06,6.0,1,5.0,6.0
8.0,7.0,8.0,8.0,6.0,0.59,8.0,1,6.0,7.0
9.0,7.0,8.0,7.0,3.0,0.39,6.0,0,5.0,2.0
7.0,9.0,8.0,8.0,8.0,0.16,7.0,1,3.0,7.0
9.0,9.0,9.0,9.0,8.0,0.74,9.0,0,7.0,6.0
8.0,8.0,7.0,8.0,8.0,0.45,8.0,1,6.0,6.0
7.0,9.0,8.0,7.0,5.0,0.13,9.0,0,5.0,5.0
6.0,7.0,7.0,5.0,7.0,0.4,6.0,1,5.0,2.0
7.0,5.0,7.0,7.0,5.0,0.0,7.0,1,2.0,7.0
9.0,9.0,8.0,7.0,9.0,0.39,9.0,1,5.0,5.0
6.0,8.0,8.0,8.0,7.0,0.28,8.0,0,5.0,4.0
6.0,10.0,10.0,8.0,9.0,0.66,8.0,0,7.0,8.0
7.0,6.0,6.0,6.0,5.0,-0.57,6.0,1,4.0,5.0
8.0,8.0,8.0,8.0,6.0,0.02,8.0,1,6.0,6.0
8.0,8.0,9.0,5.0,8.0,-0.19,9.0,0,3.0,5.0
6.0,9.0,10.0,8.0,7.0,0.16,9.0,0,5.0,9.0
6.0,7.0,8.0,8.0,8.0,-0.15,7.0,1,10.0,1.0
7.0,8.0,10.0,7.0,5.0,0.59,9.0,0,7.0,4.0
6.0,8.0,6.0,6.0,5.0,0.2,6.0,1,5.0,5.0
5.0,7.0,7.0,6.0,5.0,-0.31,7.0,0,4.0,5.0
6.0,7.0,6.0,7.0,6.0,0.29,7.0,0,8.0,6.0
7.0,6.0,6.0,8.0,7.0,0.43,6.0,0,6.0,5.0
8.0,8.0,9.0,9.0,7.0,0.49,8.0,1,8.0,9.0
5.0,10.0,8.0,7.0,6.0,0.38,8.0,0,7.0,8.0
4.0,5.0,7.0,5.0,4.0,0.6,6.0,1,6.0,3.0
5.0,5.0,9.0,7.0,6.5,0.52,9.0,0,2.0,6.0
5.0,5.0,6.0,3.0,4.0,0.62,5.0,0,6.0,3.0
4.0,7.0,8.0,6.0,3.0,-0.3,8.0,0,6.0,6.0
5.0,7.0,7.0,5.0,5.0,0.24,4.0,1,4.0,7.0
6.0,9.0,8.0,6.0,7.0,0.54,6.0,1,4.0,7.0
5.0,8.0,7.0,7.0,7.0,0.52,8.0,1,5.0,9.0
5.0,5.0,8.0,8.0,7.0,0.12,5.0,0,2.0,5.0
2.0,4.0,6.0,4.0,3.0,0.25,6.0,0,3.0,3.0
5.0,6.0,7.0,7.0,6.0,0.12,7.0,1,4.0,6.0
6.0,8.0,8.0,7.0,7.0,0.54,8.0,0,7.0,7.0
5.0,5.0,6.0,6.0,6.0,0.35,6.0,1,5.0,6.0
5.0,6.0,7.0,7.0,6.0,-0.31,7.0,0,5.0,3.0
9.0,9.0,9.0,9.0,9.0,0.31,9.0,0,5.0,9.0
5.0,9.0,9.0,7.0,7.0,0.17,7.0,0,6.0,7.0
6.0,9.0,10.0,10.0,8.0,0.15,10.0,0,5.0,6.0
8.0,7.0,7.0,8.0,7.0,-0.35,8.0,0,5.0,6.0
4.0,2.0,6.0,4.0,4.0,0.14,6.0,1,9.0,2.0
10.0,8.0,6.0,7.0,9.0,0.44,10.0,1,6.0,4.0
10.0,8.0,9.0,9.0,9.0,0.01,8.0,1,6.0,7.0
9.0,8.0,8.0,9.0,8.0,-0.21,8.0,0,9.0,10.0
4.0,7.0,6.0,6.0,7.0,0.31,5.0,1,4.0,7.0
4.0,7.0,7.0,4.0,5.0,-0.27,8.0,0,7.0,6.0
4.0,9.0,8.0,6.0,5.0,-0.32,7.0,0,3.0,7.0
8.0,9.0,9.0,8.0,9.0,0.24,8.0,1,5.0,4.0
2.0,8.0,9.0,7.0,7.0,0.15,6.0,0,4.0,6.0
5.0,6.0,5.0,7.0,5.0,0.19,5.0,0,5.0,5.0
5.0,5.0,3.0,4.0,5.0,-0.42,1.0,0,5.0,3.0
8.0,9.0,10.0,5.0,7.0,0.58,4.0,0,6.0,6.0
5.0,6.0,7.0,4.0,5.0,0.49,5.0,0,7.0,5.0
6.0,6.0,5.0,7.0,6.0,-0.13,5.0,0,5.0,5.0
4.0,8.0,10.0,7.0,8.0,0.65,7.0,0,6.0,5.0
4.0,5.0,5.0,2.0,6.0,0.59,1.0,1,6.0,8.0
7.0,7.0,7.0,7.0,4.0,0.12,7.0,0,3.0,5.0
4.0,5.0,8.0,5.0,5.0,0.21,8.0,0,6.0,3.0
9.0,8.0,7.0,8.0,6.0,0.38,3.0,1,7.0,4.0
3.0,8.0,8.0,6.0,7.0,0.65,7.0,0,5.0,8.0
8.0,10.0,8.0,7.0,6.0,0.23,7.0,1,6.0,7.0
10.0,10.0,10.0,10.0,10.0,0.08,10.0,0,7.0,10.0
3.0,5.0,4.0,3.0,3.0,0.32,3.0,0,6.0,2.0
6.0,3.0,7.0,4.0,4.0,0.36,5.0,0,3.0,5.0
4.0,5.0,6.0,5.0,5.0,-0.08,5.0,0,4.0,6.0
8.0,7.0,7.0,8.0,7.0,0.61,7.0,0,4.0,6.0
1.0,7.0,9.0,2.0,2.0,0.2,5.0,0,5.0,4.0
6.0,7.0,8.0,9.0,8.0,-0.27,8.0,0,8.0,8.0
7.0,9.0,7.0,5.0,5.0,0.46,5.0,1,7.0,3.0
10.0,9.0,9.0,9.0,9.0,-0.29,8.0,1,5.0,1.0
5.0,4.0,4.0,6.0,5.0,0.31,4.0,0,2.0,3.0
2.0,10.0,10.0,2.0,2.0,0.58,10.0,0,3.0,6.0
7.0,7.0,8.0,7.0,5.0,0.8,8.0,0,5.0,3.0
3.0,5.0,6.0,5.0,10.0,0.16,4.0,0,6.0,6.0
5.0,2.0,3.0,6.0,5.0,-0.05,2.0,0,5.0,7.0
5.0,5.0,6.0,6.0,4.0,0.13,6.0,1,3.0,4.0
6.0,8.0,8.0,7.0,8.0,0.22,7.0,1,7.0,7.0
4.0,4.0,7.0,6.0,3.0,0.27,8.0,1,6.0,4.0
4.0,6.0,6.0,6.0,4.0,-0.2,5.0,1,6.0,6.0
6.0,5.0,8.0,8.0,4.0,0.19,8.0,0,6.0,3.0
5.0,6.0,7.0,5.0,5.0,-0.5,7.0,0,6.0,5.0
7.0,7.0,7.0,7.0,8.0,0.75,7.0,0,7.0,6.0
7.0,5.0,7.0,7.0,6.0,0.6,7.0,1,6.0,8.0
5.0,4.0,4.0,5.0,6.0,0.29,5.0,0,8.0,5.0
6.0,7.0,6.0,8.0,5.0,0.63,5.0,1,6.0,4.0
8.0,5.0,6.0,9.0,7.0,0.57,4.0,1,7.0,6.0
6.0,6.0,6.0,8.0,6.0,0.58,6.0,0,5.0,5.0
7.0,9.0,9.0,9.0,6.0,0.08,8.0,0,7.0,5.0
7.0,7.0,7.0,7.0,7.0,-0.05,5.0,0,6.0,5.0
10.0,10.0,10.0,10.0,10.0,0.43,10.0,0,3.0,1.0
5.0,8.0,7.0,7.0,5.0,-0.05,6.0,1,2.0,5.0
5.0,6.0,6.0,5.0,6.0,0.68,7.0,0,7.0,5.0
4.0,10.0,8.0,5.0,6.0,-0.18,8.0,1,1.0,7.0
4.0,6.0,9.0,6.0,8.0,0.15,9.0,1,4.0,8.0
7.0,7.0,7.0,9.0,8.0,0.07,9.0,0,7.0,8.0
7.0,7.0,7.0,7.0,7.0,0.04,7.0,0,5.0,7.0
8.0,10.0,8.0,9.0,8.0,0.14,8.0,1,3.0,7.0
5.0,10.0,10.0,10.0,9.0,0.3,10.0,0,5.0,9.0
4.0,5.0,6.0,5.0,5.0,-0.48,5.0,1,5.0,4.0
5.0,5.0,8.0,5.0,5.0,-0.25,5.0,1,5.0,1.0
9.0,6.0,7.0,7.0,8.0,0.15,7.0,1,7.0,7.0
5.0,7.0,7.0,7.0,6.0,0.33,7.0,1,6.0,6.0
4.0,6.0,6.0,6.0,5.0,-0.46,7.0,0,6.0,4.0
6.0,5.0,6.0,7.0,6.0,-0.05,6.0,1,6.0,4.0
6.0,8.0,6.0,6.0,6.0,0.68,8.0,1,5.0,6.0
6.0,3.0,4.0,2.0,5.0,0.35,9.0,0,4.0,4.0
8.0,8.0,8.0,8.0,8.0,-0.2,8.0,0,8.0,8.0
6.0,6.0,6.0,5.0,5.0,0.33,5.0,1,5.0,3.0
7.0,6.0,7.0,6.0,6.0,0.17,6.0,0,5.0,6.0
6.0,8.0,7.0,7.0,5.0,0.37,7.0,1,6.0,5.0
4.0,7.0,7.0,4.0,5.0,0.43,6.0,0,6.0,5.0
9.0,7.0,8.0,9.0,8.0,0.13,8.0,1,6.0,6.0
6.0,8.0,7.0,7.0,6.0,0.34,8.0,0,7.0,7.0
7.0,6.0,8.0,7.0,7.0,0.17,8.0,0,5.0,7.0
8.0,6.0,9.0,9.0,5.0,-0.17,6.0,0,2.0,2.0
3.0,4.0,5.0,4.0,2.0,-0.52,4.0,0,4.0,1.0
4.0,4.0,5.0,6.0,5.0,0.5,6.0,0,6.0,3.0
5.0,6.0,5.0,5.0,5.0,-0.29,6.0,1,4.0,2.0
7.0,7.0,7.0,8.0,7.0,-0.15,6.0,1,5.0,7.0
5.0,5.0,6.0,5.0,6.0,-0.18,7.0,0,2.0,3.0
6.0,9.0,8.0,6.0,6.0,0.55,8.0,1,6.0,3.0
7.0,4.0,6.0,4.0,2.0,0.44,4.0,0,5.0,1.0
5.0,3.0,9.0,4.0,3.0,0.18,4.0,0,6.0,1.0
6.0,10.0,9.0,7.0,6.0,0.51,6.0,0,5.0,2.0
4.0,8.0,9.0,3.0,4.0,0.18,8.0,0,1.0,3.0
4.0,6.0,7.0,7.0,5.0,0.26,5.0,1,4.0,7.0
6.0,6.0,8.0,5.0,6.0,0.66,7.0,1,7.0,5.0
2.0,1.0,4.0,1.0,1.0,0.64,6.0,0,3.0,8.0
6.0,6.0,7.0,6.0,5.0,-0.01,5.0,0,3.0,3.0
7.0,8.0,9.0,7.0,6.0,0.45,9.0,0,7.0,5.0
7.0,8.0,7.0,6.0,7.0,0.15,6.0,0,4.0,6.0
5.0,10.0,8.0,10.0,8.0,0.22,6.0,1,7.0,10.0
7.0,10.0,8.0,8.0,8.0,-0.41,8.0,0,7.0,7.0
5.0,5.0,8.0,7.0,6.0,-0.07,10.0,1,8.0,6.0
8.0,8.0,8.0,7.0,3.0,-0.46,7.0,0,7.0,4.0
5.0,6.0,7.0,6.0,5.0,0.08,8.0,1,4.0,6.0
8.0,7.0,10.0,7.0,9.0,0.14,10.0,1,2.0,1.0
5.0,8.0,7.0,5.0,5.0,0.07,9.0,1,4.0,6.0
5.0,4.0,6.0,3.0,5.0,0.24,7.0,0,6.0,4.0
4.0,7.0,7.0,6.0,5.0,-0.12,7.0,1,4.0,6.0
5.0,10.0,10.0,9.0,8.0,-0.15,6.0,1,2.0,6.0
